rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
94,UAB,Amer,24-13,116.44983205527994,43,108.92587106863036,232,0.6831139266522419,94,24.0,13.0,13.0,5.0,13-5,0.4944753294307465,0.3241962242155205,0.5349308593796969,0.4944753294307465,0.3241962242155205,0.5349308593796969,0.8511158009615473,0.9295192351763399,106.4478939831119,106.35540435502153,106.4478939831119,106.35540435502153,119.50354980576748,110.57356673218186,115.22812407597732,110.40721668259198,0.6204576191082953,2.0,0.0016554352484674517,1456.0,1380.0,1233.6000000000001,1.180285343709468,1.1186770428015562,0.0,0.7222222222222222,-6.076541919334414,124,174,69.4662308287439
95,Florida St.,ACC,17-15,107.78030335443432,144,100.94738654326343,74,0.679875110220967,95,17.0,15.0,8.0,12.0,8-12,0.6197923189063356,0.4444775429084232,0.7151972731282743,0.6197923189063356,0.4444775429084232,0.7151972731282743,0.7584616625668377,0.8610089000710738,110.2827937554018,103.68785088767183,110.2827937554018,103.68785088767183,109.41155408376066,104.51827390719659,113.11831340698424,111.5313191976165,0.5405313162394743,7.0,0.004719196078055488,1454.0,1528.0,1382.8125000000002,1.0514802259887004,1.1049943502824857,0.0,0.4,-5.254064011552492,115,168,69.88976845636677
96,Georgetown,BE,18-16,107.62216448081537,149,101.12127719878005,77,0.6718401571910221,96,18.0,16.0,8.0,12.0,8-12,0.6142532106988935,0.3116287038038713,0.7673949245914474,0.6142532106988935,0.3116287038038713,0.7673949245914474,0.7410942650024782,0.9006214716971551,109.47816607703597,103.91760793453525,109.47816607703597,103.91760793453525,108.00205652991015,98.99991285866642,105.11422457379166,95.69888741066111,0.7463370333856345,11.0,0.022214905257499362,1378.0,1429.0,1349.9124999999997,1.0208069041511951,1.058587130647357,0.0,0.4,-4.635241275879522,103,126,68.48985817116889
97,Virginia,ACC,15-17,111.35232978728634,91,104.73213669833976,133,0.6692672938691322,97,15.0,17.0,8.0,12.0,8-12,0.6442554580094869,0.5094189640264346,0.7176863748659317,0.6442554580094869,0.5094189640264346,0.7176863748659317,0.7141913490890244,0.7389708341104637,110.69747521054322,102.9070289422636,110.69747521054322,102.9070289422636,113.21111369219486,107.48101224938698,105.44464807480401,103.47543063593795,0.5539880721295273,9.0,-0.009942626108931318,1325.0,1410.0,1235.4624999999999,1.0724728593542905,1.1412730050487168,0.0,0.4,-5.739521548570284,120,202,61.246029204892636
98,Troy,SB,23-11,106.520618882635,177,100.25200109667907,66,0.6676316493993217,98,23.0,11.0,13.0,5.0,13-5,0.42401649028791033,0.42671338410042914,0.3843266139970275,0.42401649028791033,0.42671338410042914,0.3843266139970275,0.8471703690150458,0.7845904547940808,106.22598530812658,107.45990500227613,106.22598530812658,107.45990500227613,107.25640153562975,101.39065206073093,90.78746318456953,93.76501883912559,0.408272242568043,4.0,-0.0033481777843711313,1300.0,1150.0,1179.275,1.1023722202200503,0.9751754255792753,0.0,0.7222222222222222,-4.136040780128064,94,184,66.38752250276882
99,St. Bonaventure,A10,22-12,105.65958283440037,197,99.44516708490157,54,0.6675410321602994,99,22.0,12.0,9.0,9.0,9-9,0.5048817115971014,0.3707217668961635,0.5729148455906867,0.5048817115971014,0.3707217668961635,0.5729148455906867,0.8487022663656124,0.907303887996111,107.03166906485617,106.32822482339954,107.03166906485617,106.32822482339954,107.7591564143974,103.39366550231038,116.08398705220729,105.29368364275525,0.7543495026450028,3.0,0.02097945619726571,1218.0,1233.0,1168.85,1.0420498780852976,1.0548830046627027,0.0,0.5,-4.17333258558313,95,130,64.71122400451158
100,Akron,MAC,28-7,113.46867149924432,66,106.86266072805265,182,0.6659216736052035,100,28.0,7.0,17.0,1.0,17-1,0.39498972340115407,0.4387410510863659,0.3353510117805836,0.39498972340115407,0.4387410510863659,0.3353510117805836,0.8893359791395541,0.861948958490802,105.40155044307474,108.51258125902065,105.40155044307474,108.51258125902065,114.22628861078468,106.54801609961922,106.6598740820257,107.01531506983076,0.4904362396930562,2.0,0.07774333581135018,1556.0,1357.0,1313.0875,1.184993383913867,1.033442173503289,0.0,0.9444444444444444,-1.5804059663158443,64,26,71.4844962100296
101,Notre Dame,ACC,15-18,110.3715488914807,102,104.0848031553277,115,0.6624952288417024,101,15.0,18.0,8.0,12.0,8-12,0.6376681918643211,0.5074589389987064,0.6907519125795114,0.6376681918643211,0.5074589389987064,0.6907519125795114,0.7354938784993073,0.7567383727398892,110.97522192337868,103.78523341614789,110.97522192337868,103.78523341614789,112.33257882515913,105.97068665608649,110.65421826047667,104.39504562817939,0.6614184354010987,8.0,-0.030578621300303144,1445.0,1494.0,1342.225,1.076570619680009,1.1130771666449366,0.0,0.4,-7.084720543105426,143,251,64.9045310753425
102,Georgia Tech,ACC,17-17,106.8824350328638,160,100.93749167003139,73,0.6588385546938132,102,17.0,17.0,10.0,10.0,10-10,0.606746295826858,0.3956121311093053,0.7048507472729771,0.606746295826858,0.3956121311093053,0.7048507472729771,0.7431698484498346,0.8558908083237827,110.05012143530938,104.45686138511299,110.05012143530938,104.45686138511299,107.3102983416583,100.37641697243888,104.54597995709437,96.73693856917768,0.7094602382951595,10.0,-0.0076983548898856835,1417.0,1452.0,1375.2000000000003,1.030395578824898,1.0558464223385686,0.0,0.5,-5.233748305675178,114,196,69.01015604003966
103,Washington St.,WCC,19-15,113.09319733582475,70,106.90866985561993,183,0.6562730043576853,103,19.0,15.0,8.0,10.0,8-10,0.5864279132710352,0.5608696602384906,0.5921596464877388,0.5864279132710352,0.5608696602384906,0.5921596464877388,0.781119557662474,0.8301900475909101,109.44665712681729,104.76854962807087,109.44665712681729,104.76854962807087,112.07397294779655,109.70963351474504,116.74196605337671,106.7739034710567,0.7362181694371511,6.0,0.024256256319497016,1380.0,1453.0,1270.1249999999998,1.0865072335400061,1.143981891546108,0.0,0.4444444444444444,-4.70117401269531,104,123,70.96507944234172
104,Northern Iowa,MVC,20-13,108.6349790453302,130,102.92581236184198,101,0.6504066903008698,104,20.0,13.0,14.0,6.0,14-6,0.5145962743810334,0.4565059550730568,0.5343930162537636,0.5145962743810334,0.4565059550730568,0.5343930162537636,0.858084382781076,0.8909604819441093,107.60985605935585,106.41745246864654,107.60985605935585,106.41745246864654,109.37486295823128,103.04357383901477,100.14624694678801,98.75964846117535,0.5399989802158177,2.0,-0.011065775384295762,1439.0,1346.0,1305.15,1.1025552618472971,1.0312990843964294,0.0,0.7,-6.174537752072531,128,204,65.40145975239575
105,New Mexico St.,CUSA,17-15,104.82385225071489,211,99.34659900500147,52,0.6495737232279785,105,17.0,15.0,10.0,8.0,10-8,0.4945962155552245,0.40299166790121616,0.5552713972002707,0.4945962155552245,0.40299166790121616,0.5552713972002707,0.8466581296622475,0.8417266976595155,106.62503894308693,104.49688998552988,106.62503894308693,104.49688998552988,104.7124655433566,94.95457269259958,110.33568879131907,104.11474250529956,0.6609183299069779,3.0,-0.08500971490540332,1183.0,1116.0,1164.3375,1.0160284281834089,0.9584849753615252,0.0,0.5555555555555556,-8.404949817746765,168,339,65.03598737750723
106,Lipscomb,ASun,25-10,109.98685716496507,108,104.31516090253066,123,0.6476802376872025,106,25.0,10.0,14.0,4.0,14-4,0.3833236490484926,0.4740037586608621,0.2985608550488878,0.3833236490484926,0.4740037586608621,0.2985608550488878,0.8767426296686002,0.8116396489977791,105.815129904841,110.04215980999169,105.815129904841,110.04215980999169,112.00110831635581,107.78944245996382,98.2794333424791,103.83723050005064,0.3469183526210045,3.0,0.0077496334839413095,1440.0,1216.0,1190.5749999999998,1.209499611532243,1.0213552275161164,0.0,0.7777777777777778,-4.134409082094683,93,154,66.42300490633319
107,Providence,BE,12-20,110.79895742278686,98,105.12128605780234,139,0.6467833146790295,107,12.0,20.0,6.0,14.0,6-14,0.6760839419086666,0.49955455623362127,0.7698619572154062,0.6760839419086666,0.49955455623362127,0.7698619572154062,0.7151388733532186,0.8353275612350471,111.41913541407826,102.70634128911577,111.41913541407826,102.70634128911577,112.85790143020907,105.76904524756569,112.20955116151482,103.75857855680995,0.711044981798494,12.0,-0.05877652704897485,1438.0,1533.0,1362.5125,1.055403161438886,1.1251272924101614,0.0,0.3,-8.486768625341401,170,315,66.46594459898789
108,UNC Wilmington,CAA,27-8,112.34347173872014,79,106.66951717358609,178,0.6447389860866403,108,27.0,8.0,14.0,4.0,14-4,0.3787830744074359,0.3330066430044666,0.3729221810358341,0.3787830744074359,0.3330066430044666,0.3729221810358341,0.9018040316562103,0.9056551068462695,105.35327169061922,108.86158022567305,105.35327169061922,108.86158022567305,112.59163751781432,107.31181102096394,109.54955102307251,101.57092931428267,0.7046677509449277,2.0,0.0422879859117381,1391.0,1239.0,1197.8999999999999,1.1611987645045498,1.0343100425745055,0.0,0.7777777777777778,-3.165469086980896,81,80,65.69758047753092
109,Syracuse,ACC,14-19,111.01147100342163,94,105.58782571462314,151,0.6401557704388122,109,14.0,19.0,7.0,13.0,7-13,0.6539378414000151,0.5476524516951717,0.702187411429461,0.6539378414000151,0.5476524516951717,0.702187411429461,0.729292199974119,0.7385619469432796,111.5034177464684,103.47102043732252,111.5034177464684,103.47102043732252,112.53784943216752,106.4154615375023,112.48102222537355,108.941475999387,0.5909024958492863,9.0,-0.034080838974827665,1481.0,1555.0,1380.7875,1.0725763377782607,1.1261689434471271,0.0,0.35,-7.8407782968446895,156,266,68.40016440858379
110,Washington,B10,13-18,109.77814731278329,110,104.52952594514386,128,0.6372404796797541,110,13.0,18.0,4.0,16.0,4-16,0.7044806532285307,0.4047951026076859,0.8693077060699952,0.7044806532285307,0.4047951026076859,0.8693077060699952,0.6550748092606968,0.8714241765469772,113.21324623963685,101.38280628139181,113.21324623963685,101.38280628139181,110.16261504996001,105.36383189403209,109.29693859916122,101.69305128216779,0.6961980617963439,15.0,0.03445954802031442,1374.0,1602.0,1370.8000000000004,1.0023344032681643,1.1686606361248901,0.0,0.2,-4.939321368568235,109,95,67.97623180128977
111,St. Thomas,Sum,24-10,114.07442601563955,60,108.91278784286617,230,0.6300641236534666,111,24.0,10.0,12.0,4.0,12-4,0.3993113432287872,0.38327572031069473,0.41463245989836384,0.3993113432287872,0.38327572031069473,0.41463245989836384,0.8986985964131189,0.8829873858113532,106.87057508336012,109.65564990815079,106.87057508336012,109.65564990815079,116.67439819850318,112.32455668071039,0.0,0.0,0.0,0.0,0.020194011729584238,1311.0,1238.0,1083.975,1.209437487026915,1.1420927604418922,0.0,0.75,-5.149346893823471,113,132,68.10503878189432
112,Kent St.,MAC,24-12,106.53140079458598,176,101.74021172083796,91,0.629295896733748,112,24.0,12.0,11.0,7.0,11-7,0.42702996030104917,0.44301439571146606,0.362481646696114,0.42702996030104917,0.44301439571146606,0.362481646696114,0.8590980365228128,0.801430525879446,106.75495402637085,108.03173983218524,106.75495402637085,108.03173983218524,107.53628011967892,104.66767674269336,93.42137877278351,93.8749088595287,0.4860801873437528,2.0,0.009956767239826303,1385.0,1280.0,1238.6625000000001,1.1181415438022866,1.0333726903010303,0.0,0.6111111111111112,-5.738042271117687,119,150,66.37655076208782
113,Utah Valley,WAC,25-9,106.93705325178757,159,102.22435140395291,94,0.6267525507349706,113,25.0,9.0,15.0,1.0,15-1,0.4251158033127541,0.4192139643397362,0.3927176763504147,0.4251158033127541,0.4192139643397362,0.3927176763504147,0.8855658585581642,0.880842898944734,104.54283958845248,106.65568441310894,104.54283958845248,106.65568441310894,108.17564790419817,102.03164218749289,0.0,0.0,0.0,0.0,0.08025092135939371,1222.0,1073.0,1120.2375000000002,1.090840112029815,0.9578326024615315,0.0,0.9375,-3.1145174611713036,80,24,68.3199770350847
114,DePaul,BE,14-20,108.82520260015193,126,104.17464594969903,119,0.6229886389509521,114,14.0,20.0,4.0,16.0,4-16,0.6423219746061383,0.36125094101622807,0.772200268852888,0.6423219746061383,0.36125094101622807,0.772200268852888,0.7134087277527188,0.85541266530998,110.11034572240985,102.82705163848954,110.11034572240985,102.82705163848954,106.78597524295401,106.52214066787087,103.3314028980166,105.38892313672224,0.44355749559904306,14.0,-0.03418903085652664,1333.0,1550.0,1348.7375000000002,0.9883316805531097,1.149222884364081,0.0,0.2,-7.439893620018679,150,268,67.57348963865242
115,Florida Atlantic,Amer,18-16,112.45509477698852,78,107.65804440803618,195,0.6227721673057844,115,18.0,16.0,10.0,8.0,10-8,0.5292636973588848,0.5306157220300947,0.5330291438127374,0.5292636973588848,0.5306157220300947,0.5330291438127374,0.8357670060105536,0.8010607321362063,107.92441149045229,105.53731631017247,107.92441149045229,105.53731631017247,111.86891879971732,107.0488688613215,108.15474960063412,105.39784257847407,0.5736943935539469,2.0,-0.04138332484114482,1356.0,1333.0,1222.2875,1.1093952936604523,1.0905781168505775,0.0,0.5555555555555556,-7.753434159624096,155,284,69.19167392883044
116,N.C. State,ACC,12-19,107.7387852560494,146,103.15980209217405,106,0.6223299220079027,116,12.0,19.0,5.0,15.0,5-15,0.6214724938290372,0.44275012242047435,0.7197697981037469,0.6214724938290372,0.44275012242047435,0.7197697981037469,0.7405761617081638,0.7878307559871424,110.81137616507083,104.42250147013816,110.81137616507083,104.42250147013816,108.42105903884662,104.90637284295042,107.32237634034614,103.926022901015,0.5914143141083863,8.0,-0.08310323113163115,1346.0,1465.0,1312.65,1.025406620195787,1.1160629261417743,0.0,0.25,-8.94456817104719,181,337,65.45030009227213
117,Northern Colorado,BSky,25-10,112.1561697143309,83,107.44634883524941,190,0.6208969942953629,117,25.0,10.0,15.0,3.0,15-3,0.39001710537337714,0.4181247265057656,0.34393682907324363,0.39001710537337714,0.4181247265057656,0.34393682907324363,0.8869564062618122,0.8350757710982513,105.76342382483804,108.79150689785162,105.76342382483804,108.79150689785162,112.18904405835102,108.66784173377833,103.72710211466455,104.42712656581838,0.4806722633612698,1.0,0.03228484101857232,1439.0,1297.0,1232.8250000000003,1.167237848031959,1.0520552389836348,0.0,0.8333333333333334,-4.119008207942647,92,99,68.91413622383568
118,Middle Tennessee,CUSA,22-12,108.76129164729431,127,104.36973309694959,125,0.6163256701103176,118,22.0,12.0,12.0,6.0,12-6,0.5263189174526502,0.4709043923797215,0.5589012746866646,0.5263189174526502,0.4709043923797215,0.5589012746866646,0.8469554044704802,0.8389719512894026,107.18805909643908,104.36473786658443,107.18805909643908,104.36473786658443,108.09804971050129,103.98161650585044,105.98394859520164,101.0145493461365,0.6346610656052832,2.0,0.07292989555851137,1326.0,1288.0,1252.6249999999998,1.0585769883245186,1.028240694541463,0.0,0.6666666666666666,-4.110856035634221,91,34,68.55233311911849
119,Chattanooga,SC,29-9,115.2282165998261,55,110.6005603015271,258,0.6157101514873068,119,29.0,9.0,15.0,3.0,15-3,0.42904211839940853,0.41230803726806864,0.3657159988551931,0.42904211839940853,0.41230803726806864,0.3657159988551931,0.8702008828926565,0.8319115559134797,104.9496920415763,107.2693868391502,104.9496920415763,107.2693868391502,117.00670783145112,112.96962005663096,110.87851064857115,107.42414469876071,0.590002704597685,3.0,0.11656220237812875,1473.0,1318.0,1221.3875,1.2060054650960486,1.0791006130323095,0.0,0.8333333333333334,-3.952775924493184,89,11,66.76880133798801
120,George Washington,A10,21-13,107.1368319951772,156,103.14720749181598,105,0.6074059029743168,120,21.0,13.0,9.0,9.0,9-9,0.4552179147832876,0.2647227770755233,0.5592535076381648,0.4552179147832876,0.2647227770755233,0.5592535076381648,0.8747689384523022,0.9413446350098853,104.8061630034232,106.3894326894615,104.8061630034232,106.3894326894615,105.57848401927797,98.92100786116376,109.15205218978235,106.78166454898576,0.5627892814507502,2.0,-0.008011789356036192,1239.0,1200.0,1208.0249999999996,1.025641025641026,0.9933569255603157,0.0,0.5,-6.593131674949563,136,198,67.4025878822745
121,Illinois St.,MVC,22-14,113.00122546518531,72,108.83034049541746,228,0.6064699585394635,121,22.0,14.0,10.0,10.0,10-10,0.49230530828823216,0.44185760748630537,0.5319204703607524,0.49230530828823216,0.44185760748630537,0.5319204703607524,0.868354775932487,0.8792568807708251,107.24184476842917,106.95207123431139,107.24184476842917,106.95207123431139,115.0660607544514,111.0399182194604,128.07243079440664,120.37287170327768,0.671068229553661,1.0,0.014209337022424329,1495.0,1476.0,1315.9,1.1361045672163537,1.1216657800744736,0.0,0.5,-7.74357578506642,154,140,66.02001967857066
122,Saint Louis,A10,19-15,109.01616495749319,122,105.0058711173678,137,0.6061169604932232,122,19.0,15.0,11.0,7.0,11-7,0.548050442898093,0.4206615352630854,0.620520837852242,0.548050442898093,0.4206615352630854,0.620520837852242,0.8260000927981411,0.8665280140154967,108.03786331040095,104.64923190054056,108.03786331040095,104.64923190054056,108.67478277747928,99.99575972181073,112.02369566994594,102.11639745370591,0.7436194765382954,3.0,0.021512431254201103,1297.0,1237.0,1223.7124999999999,1.059889475673412,1.0108583511241407,0.0,0.6111111111111112,-6.487670646037591,135,128,67.6198436991312
123,North Dakota St.,Sum,21-11,115.54451335116633,54,111.35819141304037,269,0.6045344112611883,123,21.0,11.0,10.0,6.0,10-6,0.4002116519474968,0.3846792052418476,0.4177648082442556,0.4002116519474968,0.3846792052418476,0.4177648082442556,0.8960999743531829,0.8815780145432421,107.53684096602207,109.92429907506688,107.53684096602207,109.92429907506688,115.65042531154404,114.4765857987703,118.6713115849617,98.88455166577491,0.8906747979447528,1.0,-0.013654942889988586,1300.0,1248.0,1083.4875,1.1998292550675482,1.1518360848648461,0.0,0.625,-6.37718647198883,130,211,65.2905862468439
124,Jacksonville St.,CUSA,23-13,108.67976106424254,128,104.82942832113854,135,0.6022423558285409,124,23.0,13.0,12.0,6.0,12-6,0.5011137983087546,0.3651614088619442,0.5604364697816704,0.5011137983087546,0.3651614088619442,0.5604364697816704,0.8490576396289399,0.8818633599652661,107.09879970728392,104.91532340333853,107.09879970728392,104.91532340333853,105.86009611585594,103.62852563101704,111.59530880052017,101.54176432688439,0.7475714266755649,2.0,0.06657283054543461,1249.0,1225.0,1199.8875,1.0409309206071402,1.0209290454313424,0.0,0.6666666666666666,-5.470440137636549,117,41,64.9511088639865
125,Belmont,MVC,22-11,112.1964268791059,81,108.26125023999845,214,0.6012303849960365,125,22.0,11.0,13.0,7.0,13-7,0.49327973361716904,0.4160425275292109,0.5126257880888562,0.49327973361716904,0.4160425275292109,0.5126257880888562,0.8699682139226232,0.9099293145078817,106.86392403852373,106.406238968182,106.86392403852373,106.406238968182,113.51659067305995,110.77753181245325,87.9947419061716,102.99729849022226,0.1405903295016178,1.0,0.07253094755812195,1582.0,1559.0,1400.9875000000002,1.1292035082397236,1.1127865166534319,0.0,0.65,-5.045032622730587,111,36,70.85226887023718
126,North Alabama,ASun,24-11,110.89807000875192,96,107.01237695045145,186,0.6011287360603713,126,24.0,11.0,14.0,4.0,14-4,0.3453504098850824,0.3535758763432088,0.30565402058941765,0.3453504098850824,0.3535758763432088,0.30565402058941765,0.8997422086882255,0.8683282958646493,104.60821260478588,110.3708456480685,104.60821260478588,110.3708456480685,113.24388490309582,107.53185533498151,115.13471085786132,108.52071440208945,0.6638191218759621,1.0,-0.02436316353409229,1442.0,1258.0,1206.7374999999997,1.1949574783248225,1.0424802411460656,0.0,0.7777777777777778,-5.7815836530764795,122,239,66.89767519591835
127,California,ACC,14-19,110.02727998969877,107,106.18828870110634,165,0.600708206876739,127,14.0,19.0,6.0,14.0,6-14,0.6285454836867763,0.48811664684284656,0.7050760928889027,0.6285454836867763,0.48811664684284656,0.7050760928889027,0.7341419646649112,0.7886231670323552,110.96265914621074,104.11919035956718,110.96265914621074,104.11919035956718,110.05530693495439,107.30824074728818,107.75601600864044,100.60041560920968,0.6878745889215906,8.0,-0.032050078892291334,1473.0,1562.0,1389.3125,1.0602366278285122,1.1242970893877366,0.0,0.3,-8.158862347433258,165,261,67.77311380927036
128,Cornell,Ivy,18-11,114.867222618514,57,111.00033520744387,264,0.597197622962219,128,18.0,11.0,9.0,5.0,9-5,0.397039475650619,0.36254929920213935,0.3998706127182382,0.397039475650619,0.36254929920213935,0.3998706127182382,0.9064850861125171,0.9164124715865472,105.02734626268355,108.07038635380579,105.02734626268355,108.07038635380579,114.95506187917104,111.20653044010011,0.0,0.0,0.0,0.0,-0.050398576222779434,1173.0,1094.0,1003.525,1.1688796990608106,1.090157195884507,0.0,0.6428571428571429,-7.136210433177418,144,298,70.97933249196507
129,Kennesaw St.,CUSA,19-14,107.32792576443191,154,103.86076761908451,111,0.5933020654611041,129,19.0,14.0,10.0,8.0,10-8,0.5198319050088359,0.430320067245173,0.5614104172095252,0.5198319050088359,0.430320067245173,0.5614104172095252,0.8500767212608228,0.8702190688155813,106.87840387322973,103.8475912660836,106.87840387322973,103.8475912660836,105.350927543946,101.9002158625218,116.22732290155139,108.40681685690933,0.6902001694829877,2.0,0.022900293895899315,1313.0,1286.0,1273.0625,1.0313712013353626,1.010162501841033,0.0,0.5555555555555556,-7.198615008420843,145,124,70.3840397150184
130,South Alabama,SB,21-11,106.85005462776934,161,103.54579658595124,109,0.5893414749507344,130,21.0,11.0,13.0,5.0,13-5,0.3911902658560139,0.38872156819181874,0.3752804324602328,0.3911902658560139,0.38872156819181874,0.3752804324602328,0.8879383537932986,0.8601475164729108,104.52333380173569,108.0673104343442,104.52333380173569,108.0673104343442,107.5414565778595,100.45773521522155,91.8438962603126,86.41330393000742,0.6683895403406418,1.0,-0.011136282573181555,1299.0,1146.0,1179.7625,1.1010690711054132,0.9713819518759071,0.0,0.7222222222222222,-6.161293839835387,127,205,63.35449830224864
131,Duquesne,A10,13-19,106.4133262414971,183,103.21695620033432,107,0.586792948488622,131,13.0,19.0,8.0,10.0,8-10,0.5184288419073684,0.40156319923683914,0.594547795487799,0.5184288419073684,0.40156319923683914,0.594547795487799,0.8654538790825618,0.9209632473041572,106.53797033069144,105.10773039773323,106.53797033069144,105.10773039773323,108.70378944662637,103.29949012028995,103.69392897719416,101.43702490164182,0.562930066123197,1.0,-0.15729184930865137,1272.0,1251.0,1198.0874999999999,1.0616920717393348,1.0441641365926948,0.0,0.4444444444444444,-12.97354227977944,257,362,65.29613765701968
132,Nebraska Omaha,Sum,22-13,112.10099889523012,85,109.08341172746339,237,0.5778137869654001,132,22.0,13.0,13.0,3.0,13-3,0.43803105507421,0.42144108126463453,0.4210385617689841,0.43803105507421,0.42144108126463453,0.4210385617689841,0.8641125944089897,0.8426071119338886,106.89913218738221,107.96886361226261,106.89913218738221,107.96886361226261,117.12065331780879,110.15577152629321,100.60175728840579,108.44823935175418,0.29656945895892345,2.0,0.01716833357367864,1347.0,1231.0,1105.8125,1.2181088566099587,1.1132086135759904,0.0,0.8125,-6.396799208095748,131,135,67.75676887791498
133,South Dakota St.,Sum,20-12,109.76176451612079,111,106.8571175596561,181,0.5765010068887589,133,20.0,12.0,11.0,5.0,11-5,0.43823839049394087,0.4634526545714575,0.42119929794717564,0.43823839049394087,0.4634526545714575,0.42119929794717564,0.8619856402200922,0.8104256342294529,108.46266398575123,108.66396316852278,108.46266398575123,108.66396316852278,110.9616532956612,107.89144165225825,121.8967992764358,111.87826218741012,0.728352448412676,2.0,0.01512903697998147,1309.0,1201.0,1114.7875000000001,1.1742148167251605,1.077335366605743,0.0,0.6875,-6.144145965395163,125,138,69.30226245067662
134,Montana,BSky,25-10,111.88967927118456,88,109.03852032501591,234,0.5736698141296784,134,25.0,10.0,15.0,3.0,15-3,0.42456766778647764,0.4911628753541902,0.34908183227470047,0.42456766778647764,0.4911628753541902,0.34908183227470047,0.8489986375390127,0.760042840960332,107.20290540829374,107.92363782233218,107.20290540829374,107.92363782233218,112.3744068651222,110.89891243977227,104.2245654950965,108.58818593213968,0.3842211104591317,4.0,0.0948193472899187,1378.0,1302.0,1196.475,1.15171650055371,1.0881965774462485,0.0,0.8333333333333334,-2.996214958084314,77,17,67.31037984765658
135,Louisiana Tech,CUSA,20-12,107.76816054531588,145,105.2471510957722,143,0.5676365590111129,135,20.0,12.0,9.0,9.0,9-9,0.4738952179934701,0.33789588962011774,0.5642041522573803,0.4738952179934701,0.33789588962011774,0.5642041522573803,0.8740544893649062,0.9170306199571813,105.9032994079989,104.8548900693739,105.9032994079989,104.8548900693739,107.8276102933076,106.18221886319381,102.49505104732827,110.2504345831232,0.3017856134867424,2.0,0.04371432611043835,1242.0,1240.0,1178.85,1.053569156381219,1.0518725876913941,0.0,0.5,-6.401420230545164,132,75,64.67947662567254
136,Furman,SC,25-10,110.2317864274752,103,107.8181616190356,201,0.5633085287368271,136,25.0,10.0,11.0,7.0,11-7,0.40119525241795295,0.3714762916644788,0.37142258779032084,0.40119525241795295,0.3714762916644788,0.37142258779032084,0.8911276605510071,0.8824341975414742,105.46900527095521,108.22469835465056,105.46900527095521,108.22469835465056,107.81617944019155,109.08028433095691,98.77563431984788,110.61024543017203,0.21393617661540779,1.0,0.07443659970964034,1352.0,1291.0,1218.4875,1.1095723181403174,1.0595102534904954,0.0,0.6111111111111112,-4.300311089804276,97,33,65.99954329430318
137,Wichita St.,Amer,19-15,106.50290212342654,178,104.27677209073049,122,0.5604334575050934,137,19.0,15.0,8.0,10.0,8-10,0.5192600012734794,0.4887554611931618,0.5186510378783098,0.5192600012734794,0.4887554611931618,0.5186510378783098,0.8427318394819564,0.841724270568245,107.33450009970505,105.4291664240283,107.33450009970505,105.4291664240283,104.0513749690188,106.29896616359969,89.42530204388098,91.50903271305657,0.4341617099549828,2.0,0.024956320821946987,1267.0,1293.0,1213.45,1.0441303720796078,1.0655568832667188,0.0,0.4444444444444444,-7.279511628409768,148,119,68.9203215912103
138,Texas A&M Corpus Chris,Slnd,20-14,106.80182133644618,164,104.6336305525171,131,0.5586942921870257,138,20.0,14.0,12.0,8.0,12-8,0.3902986879600265,0.35977914968651054,0.4127372925108391,0.3902986879600265,0.35977914968651054,0.4127372925108391,0.8597435241712796,0.7798538877955079,105.10836685669705,106.72603956243249,105.10836685669705,106.72603956243249,106.85253012625736,103.12533875537694,110.0857153862737,111.09018041896562,0.47391005069462167,4.0,-0.0521831420272455,1429.0,1346.0,1334.4499999999998,1.0708531604780998,1.0086552512270974,0.0,0.6,-7.999396461899638,160,301,67.70008457761257
139,Robert Morris,Horz,26-9,106.7359402330789,168,104.59786941073898,130,0.5579138199654505,139,26.0,9.0,15.0,5.0,15-5,0.37087513820642587,0.3245017019209844,0.36338534603737094,0.37087513820642587,0.3245017019209844,0.36338534603737094,0.8974640971933412,0.8917472520347947,105.24362054767143,110.32393167508047,105.24362054767143,110.32393167508047,106.46896729003006,104.86264814823771,105.33880934542525,108.51913147641228,0.4153085355082719,2.0,0.07604399481499935,1560.0,1426.0,1402.8875,1.1119922303106984,1.0164749489891385,0.0,0.75,-4.005802265326931,90,30,68.22250802200094
140,Wofford,SC,19-16,111.96471531930868,87,109.93456786577633,249,0.5524147077034293,140,19.0,16.0,10.0,8.0,10-8,0.43039262645210286,0.4740748157215799,0.3726074051906712,0.43039262645210286,0.4740748157215799,0.3726074051906712,0.8640714799146078,0.8230260802856384,106.28476709546668,107.68218208623708,106.28476709546668,107.68218208623708,110.59208525294821,108.95722980725044,93.36825960697935,109.53203779196045,0.13750669303444948,2.0,-0.05396875038157467,1340.0,1243.0,1176.7125,1.138765841273888,1.0563327915697334,0.0,0.5555555555555556,-9.568583513609592,193,305,64.20323603603701
